text,label
대기오염 저감설비 보강 (3호기),운영안정성 제고
대기오염 저감설비 보강 (9호기),운영안정성 제고
발전소 방호설비 보강 (3호기),운영안정성 제고
발전소 방호설비 보강 (4호기),운영안정성 제고
발전소 방호설비 보강 (9호기),운영안정성 제고
대기오염 저감설비 보강 (1호기),운영안정성 제고
대기오염 저감설비 보강 (5호기),운영안정성 제고
대기오염 저감설비 보강 (2호기),운영안정성 제고
발전소 방호설비 보강 (2호기),운영안정성 제고
발전소 방호설비 보강 (7호기),운영안정성 제고
대기오염 저감설비 보강 (6호기),운영안정성 제고
대기오염 저감설비 보강 (4호기),운영안정성 제고
발전소 방호설비 보강 (8호기),운영안정성 제고
발전소 방호설비 보강 (6호기),운영안정성 제고
가스터빈 LTSA 정산 (3호기),LTSA
직무 워크숍 운영 (9호기),교육강화
정기보수 용역 (6호기),정기사업
사이버보안 시스템 구축 (8호기),보안강화
집진기 교체공사 (6호기),환경강화
스마트팩토리 구축 (3호기),AX/DX
OEM 터빈정비계약 (2호기),LTSA
정비인력 기술교육 (6호기),교육강화
정비인력 기술교육 (9호기),교육강화
운전안정화 개선공사 (3호기),운영안정성 제고
사이버보안 시스템 구축 (3호기),보안강화
정기보수 용역 (2호기),정기사업
탈황설비 성능개선 (2호기),환경강화
탈황설비 성능개선 (7호기),환경강화
정기보수 용역 (4호기),정기사업
노후 변압기 개체 (1호기),노후설비개체
노후 밸브 갱신공사 (6호기),노후설비개체
설비 신뢰도 향상 공사 (1호기),운영안정성 제고
운전안정화 개선공사 (9호기),운영안정성 제고
정기점검 정비공사 (1호기),정기사업
노후 배관 교체공사 (3호기),노후설비개체
스마트팩토리 구축 (5호기),AX/DX
집진기 교체공사 (7호기),환경강화
정비인력 기술교육 (1호기),교육강화
정기점검 정비공사 (6호기),정기사업
운전안정화 개선공사 (6호기),운영안정성 제고
AI 예지보전 시스템 도입 (1호기),AX/DX
가스터빈 LTSA 정산 (2호기),LTSA
노후 밸브 갱신공사 (9호기),노후설비개체
AI 예지보전 시스템 도입 (3호기),AX/DX
사이버보안 시스템 구축 (5호기),보안강화
AI 예지보전 시스템 도입 (9호기),AX/DX
노후 배관 교체공사 (6호기),노후설비개체
사이버보안 시스템 구축 (9호기),보안강화
정비인력 기술교육 (3호기),교육강화
정비인력 기술교육 (5호기),교육강화
정기점검 정비공사 (4호기),정기사업
노후 배관 교체공사 (5호기),노후설비개체
사이버보안 시스템 구축 (2호기),보안강화
탈황설비 성능개선 (8호기),환경강화
사이버보안 시스템 구축 (1호기),보안강화
직무 워크숍 운영 (5호기),교육강화
운전안정화 개선공사 (7호기),운영안정성 제고
AI 예지보전 시스템 도입 (6호기),AX/DX
스마트팩토리 구축 (9호기),AX/DX
집진기 교체공사 (8호기),환경강화
집진기 교체공사 (9호기),환경강화
운전안정화 개선공사 (2호기),운영안정성 제고
노후 밸브 갱신공사 (1호기),노후설비개체
집진기 교체공사 (2호기),환경강화
정비인력 기술교육 (4호기),교육강화
스마트팩토리 구축 (4호기),AX/DX
정기보수 용역 (8호기),정기사업
AI 예지보전 시스템 도입 (4호기),AX/DX
노후 변압기 개체 (6호기),노후설비개체
정비인력 기술교육 (2호기),교육강화
노후 배관 교체공사 (2호기),노후설비개체
정기보수 용역 (9호기),정기사업
노후 밸브 갱신공사 (3호기),노후설비개체
정기점검 정비공사 (9호기),정기사업
운전안정화 개선공사 (1호기),운영안정성 제고
탈황설비 성능개선 (6호기),환경강화
OEM 터빈정비계약 (8호기),LTSA
정기점검 정비공사 (5호기),정기사업
노후 변압기 개체 (3호기),노후설비개체
OEM 터빈정비계약 (4호기),LTSA
설비 신뢰도 향상 공사 (5호기),운영안정성 제고
가스터빈 LTSA 정산 (7호기),LTSA
집진기 교체공사 (4호기),환경강화
정비인력 기술교육 (7호기),교육강화
OEM 터빈정비계약 (7호기),LTSA
정기점검 정비공사 (2호기),정기사업
탈황설비 성능개선 (3호기),환경강화
탈황설비 성능개선 (9호기),환경강화
스마트팩토리 구축 (7호기),AX/DX
OEM 터빈정비계약 (3호기),LTSA
정기보수 용역 (7호기),정기사업
OEM 터빈정비계약 (1호기),LTSA
노후 변압기 개체 (5호기),노후설비개체
스마트팩토리 구축 (6호기),AX/DX
직무 워크숍 운영 (1호기),교육강화
노후 변압기 개체 (7호기),노후설비개체
노후 밸브 갱신공사 (8호기),노후설비개체
설비 신뢰도 향상 공사 (2호기),운영안정성 제고
설비 신뢰도 향상 공사 (9호기),운영안정성 제고
정기보수 용역 (5호기),정기사업
직무 워크숍 운영 (2호기),교육강화
노후 배관 교체공사 (7호기),노후설비개체
정기점검 정비공사 (3호기),정기사업
OEM 터빈정비계약 (5호기),LTSA
사이버보안 시스템 구축 (6호기),보안강화
운전안정화 개선공사 (5호기),운영안정성 제고
가스터빈 LTSA 정산 (5호기),LTSA
AI 예지보전 시스템 도입 (2호기),AX/DX
가스터빈 LTSA 정산 (6호기),LTSA
정기점검 정비공사 (8호기),정기사업
직무 워크숍 운영 (7호기),교육강화
설비 신뢰도 향상 공사 (7호기),운영안정성 제고
직무 워크숍 운영 (8호기),교육강화
직무 워크숍 운영 (4호기),교육강화
설비 신뢰도 향상 공사 (3호기),운영안정성 제고
사이버보안 시스템 구축 (4호기),보안강화
노후 밸브 갱신공사 (7호기),노후설비개체
스마트팩토리 구축 (1호기),AX/DX
가스터빈 LTSA 정산 (1호기),LTSA
노후 변압기 개체 (2호기),노후설비개체
OEM 터빈정비계약 (9호기),LTSA
정비인력 기술교육 (8호기),교육강화
노후 변압기 개체 (9호기),노후설비개체
DCS 자동화 개선 (3호기),AX/DX
CCTV 및 출입통제 개선 (4호기),보안강화
안전보건 역량강화 교육 (7호기),교육강화
CCTV 및 출입통제 개선 (8호기),보안강화
LTSA 장기서비스계약 (3호기),LTSA
계획예방정비(TA) (3호기),정기사업
CCTV 및 출입통제 개선 (5호기),보안강화
DCS 자동화 개선 (6호기),AX/DX
LTSA 장기서비스계약 (2호기),LTSA
CCTV 및 출입통제 개선 (7호기),보안강화
안전보건 역량강화 교육 (5호기),교육강화
안전보건 역량강화 교육 (6호기),교육강화
DCS 자동화 개선 (7호기),AX/DX
LTSA 장기서비스계약 (4호기),LTSA
예비설비 보강 (5호기),운영안정성 제고
계획예방정비(TA) (4호기),정기사업
CCTV 및 출입통제 개선 (1호기),보안강화
예비설비 보강 (4호기),운영안정성 제고
예비설비 보강 (1호기),운영안정성 제고
계획예방정비(TA) (8호기),정기사업
CCTV 및 출입통제 개선 (9호기),보안강화
계획예방정비(TA) (5호기),정기사업
안전보건 역량강화 교육 (3호기),교육강화
예비설비 보강 (2호기),운영안정성 제고
계획예방정비(TA) (6호기),정기사업
계획예방정비(TA) (9호기),정기사업
CCTV 및 출입통제 개선 (2호기),보안강화
DCS 자동화 개선 (9호기),AX/DX
계획예방정비(TA) (7호기),정기사업
DCS 자동화 개선 (2호기),AX/DX
안전보건 역량강화 교육 (9호기),교육강화
예비설비 보강 (6호기),운영안정성 제고
예비설비 보강 (8호기),운영안정성 제고
안전보건 역량강화 교육 (8호기),교육강화
예비설비 보강 (3호기),운영안정성 제고
LTSA 장기서비스계약 (7호기),LTSA
LTSA 장기서비스계약 (6호기),LTSA
예비설비 보강 (9호기),운영안정성 제고
안전보건 역량강화 교육 (4호기),교육강화
DCS 자동화 개선 (4호기),AX/DX
